CustomerID,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,CityTier_1,CityTier_2,CityTier_3,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn_Probability,Churn_Prediction
50912,0.0,0.06666666666666665,0.6666666666666667,0.4000000000000001,0.0,0.30000000000000004,1,0.13333333333333333,0.125,0.06666666666666667,0.06451612903225806,0.42153846153846153,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.64,1
50081,0.0,0.8999999999999999,0.3333333333333333,0.4000000000000001,0.25,0.05,0,0.7333333333333333,0.0625,0.0,0.2903225806451613,0.5415384615384615,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.66,1
50291,0.0,0.25,0.3333333333333333,0.8,0.5,0.0,0,0.3333333333333333,0.0625,0.0,0.0,0.38153846153846155,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0.6,1
53397,0.12903225806451613,0.8333333333333333,1.0,0.2,0.75,0.25,1,0.4,0.125,0.06666666666666667,0.03225806451612903,0.7907692307692308,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.69,1
51781,0.0,0.5,0.3333333333333333,0.4000000000000001,0.5,0.35,1,0.06666666666666668,0.1875,0.06666666666666667,0.22580645161290325,0.7261538461538461,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.67,1
51047,0.2903225806451613,0.23333333333333334,0.6666666666666667,0.4000000000000001,1.0,0.15000000000000002,1,0.2,0.0,0.0,0.09677419354838711,0.37538461538461537,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.47,1
50080,0.03225806451612906,0.9666666666666666,0.6666666666666667,0.4000000000000001,1.0,0.35,1,0.5333333333333333,0.0,0.0,0.0,0.5138461538461538,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.56,1
52782,0.0,0.25,0.3333333333333333,0.4000000000000001,1.0,0.05,1,0.0,0.0625,0.0,0.06451612903225806,0.38153846153846155,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.66,1
52482,0.0,0.25,0.3333333333333333,0.4000000000000001,0.75,0.05,1,0.4,0.0,0.0,0.0,0.38153846153846155,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.71,1
53048,0.03225806451612906,0.033333333333333326,0.6666666666666667,0.8,0.75,0.1,1,0.06666666666666668,0.125,0.06666666666666667,0.09677419354838711,0.4523076923076923,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.51,1
54937,0.03225806451612906,0.3333333333333333,0.6666666666666667,0.6000000000000001,0.0,0.1,1,0.26666666666666666,0.125,0.06666666666666667,0.09677419354838711,0.4553846153846154,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.5,1
50297,0.0,0.25,0.6666666666666667,0.6000000000000001,0.75,0.25,0,0.3333333333333333,0.0,0.0,0.03225806451612903,0.3846153846153846,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.51,1
50788,0.0,0.13333333333333336,0.6666666666666667,0.4000000000000001,0.25,0.05,1,0.6,0.0,0.06666666666666667,0.06451612903225806,0.39692307692307693,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.49,1
51457,0.0,0.23333333333333334,0.6666666666666667,0.8,0.5,0.05,1,0.8666666666666667,0.0625,0.0,0.19354838709677422,0.49538461538461537,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.72,1
50316,0.0,0.7666666666666666,0.3333333333333333,0.4000000000000001,1.0,0.45000000000000007,1,0.26666666666666666,0.0625,0.0,0.06451612903225806,0.6153846153846154,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0.84,1
52423,0.0,0.25,0.6666666666666667,0.6000000000000001,1.0,0.30000000000000004,0,0.13333333333333333,0.0625,0.0,0.22580645161290325,0.38153846153846155,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.67,1
54849,0.03225806451612906,0.7333333333333333,0.6666666666666667,0.8,0.75,0.1,1,0.2,0.125,0.06666666666666667,0.03225806451612903,0.4492307692307692,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.63,1
55136,0.6129032258064517,0.4666666666666667,0.6666666666666667,0.2,0.5,0.35,1,0.4666666666666667,0.0625,0.2,0.2903225806451613,0.8061538461538462,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.71,1
52595,0.0,0.3,0.6666666666666667,0.8,0.75,0.05,0,0.13333333333333333,0.125,0.06666666666666667,0.06451612903225806,0.39384615384615385,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.74,1
53544,0.03225806451612906,0.3333333333333333,0.6666666666666667,0.6000000000000001,1.0,0.1,0,1.0,0.0625,0.06666666666666667,0.03225806451612903,0.4646153846153846,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.55,1
51935,0.0,0.25,0.3333333333333333,0.6000000000000001,1.0,0.05,1,0.0,0.0,0.0,0.0,0.37846153846153846,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.7,1
55622,0.4516129032258065,0.9666666666666666,0.6666666666666667,0.8,1.0,0.25,1,0.2,0.1875,0.06666666666666667,0.03225806451612903,0.72,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0.52,1
53076,0.03225806451612906,0.16666666666666669,0.6666666666666667,0.6000000000000001,0.25,0.9500000000000001,1,0.8666666666666667,0.125,0.06666666666666667,0.03225806451612903,0.4553846153846154,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.76,1
54263,0.03225806451612906,0.23333333333333334,1.0,0.8,0.0,0.1,1,0.5333333333333333,0.0625,0.06666666666666667,0.03225806451612903,0.47384615384615386,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.59,1
